Acceptance Rate,Application Deadline,Application Fee,SAT Range,ACT Range,How would you rate on-campus housing?,How would you rate off-campus housing?,How would you rate campus food?,How would you rate campus facilities?,How would you rate class size?,How would you rate school activities?,How would you rate local services?,How would you rate academics?,University Name,Student Life Reviews,General Info,Table,Quick Facts
100%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Wood County School of Practical Nursing,,,,
100%,None,10,None,None,,,,,,,,,Academy of Cosmetology-Janesville,None,,,
100%,None,10,None,None,,,,,,,,,Advanced College of Cosmetology,None,,,
100%,None,10,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Advanced Institute of Hair Design-Glendale,,,,
%,None,10,None,None,,,,,,,,,Advanced Institute of Hair Design-Madison,None,,,
100%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Affinity Health System Program in Radiologic Technology,,,,
80%,None,0,None,None,54 Students rated on-campus housing 3.7 stars. 22 % gave the school a 5.0.,47 Students rated off-campus housing 3.5 stars. 0 % gave the school a 5.0.,85 Students rated campus food 3.3 stars. 14 % gave the school a 5.0.,89 Students rated campus facilities 4.3 stars. 52 % gave the school a 5.0.,89 Students rated class size 4.6 stars. 75 % gave the school a 5.0.,89 Students rated school activities 3.9 stars. 37 % gave the school a 5.0.,89 Students rated local services 3.8 stars. 36 % gave the school a 5.0.,88 Students rated academics 4.1 stars. 52 % gave the school a 5.0.,Alverno College,,,,
%,None,20,None,None,,,,,,,,,Anthem College-Brookfield,None,,,
%,None,0,None,None,,,,,,,,,Aurora St. Luke’s Medical Center-School of Diagnostic Medical Sonography,None,,,
19%,None,0,None,None,,,,,,,,,Aurora St. Luke’s Medical Center-School of Radiologic Technology,None,,,
100%,None,0,None,None,,,,,,,,,Aveda Institute-Madison,None,,,
100%,None,100,None,None,,,,,,,,,Bella Academy of Cosmetology,None,,,
89%,None,0,None,22-26,4 Students rated on-campus housing 1 stars. 0 % gave the school a 5.0.,1 Students rated off-campus housing 4.7 stars. 0 % gave the school a 5.0.,4 Students rated campus food 3.3 stars. 0 % gave the school a 5.0.,4 Students rated campus facilities 4.7 stars. 75 % gave the school a 5.0.,4 Students rated class size 4.3 stars. 50 % gave the school a 5.0.,4 Students rated school activities 3.7 stars. 0 % gave the school a 5.0.,4 Students rated local services 4 stars. 0 % gave the school a 5.0.,4 Students rated academics 4.7 stars. 75 % gave the school a 5.0.,Bellin College,,,,
100%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Bellin Health School of Radiologic Technology,,,,
69%,1-Nov,0,1065-1370,24-30,50 Students rated on-campus housing 3.8 stars. 18 % gave the school a 5.0.,26 Students rated off-campus housing 3.1 stars. 0 % gave the school a 5.0.,50 Students rated campus food 2.8 stars. 6 % gave the school a 5.0.,49 Students rated campus facilities 3.8 stars. 16 % gave the school a 5.0.,49 Students rated class size 4.7 stars. 78 % gave the school a 5.0.,49 Students rated school activities 4 stars. 31 % gave the school a 5.0.,50 Students rated local services 3.7 stars. 26 % gave the school a 5.0.,49 Students rated academics 4.3 stars. 55 % gave the school a 5.0.,Beloit College,,,,
100%,None,30,None,None,2 Students rated on-campus housing 1 stars. 0 % gave the school a 5.0.,2 Students rated off-campus housing 3 stars. 0 % gave the school a 5.0.,4 Students rated campus food 3.5 stars. 25 % gave the school a 5.0.,4 Students rated campus facilities 4.8 stars. 75 % gave the school a 5.0.,4 Students rated class size 3.8 stars. 50 % gave the school a 5.0.,4 Students rated school activities 3.3 stars. 25 % gave the school a 5.0.,4 Students rated local services 2.8 stars. 0 % gave the school a 5.0.,4 Students rated academics 4.8 stars. 75 % gave the school a 5.0.,Blackhawk Technical College,,,,
%,None,0,None,None,,,,,,,,,Blue Sky School of Professional Massage and Therapeutic Bodywork,None,,,
%,None,100,None,None,,,,,,,,,Brensten Education,None,,,
100%,None,0,None,None,,,,,,,,,Bryant & Stratton College-Bayshore,None,,,
100%,None,0,None,None,1 Students rated on-campus housing 1 stars. 0 % gave the school a 5.0.,1 Students rated off-campus housing 4 stars. 0 % gave the school a 5.0.,1 Students rated campus food 1 stars. 0 % gave the school a 5.0.,4 Students rated campus facilities 3.8 stars. 50 % gave the school a 5.0.,4 Students rated class size 4.3 stars. 75 % gave the school a 5.0.,3 Students rated school activities 3.7 stars. 67 % gave the school a 5.0.,4 Students rated local services 4.8 stars. 75 % gave the school a 5.0.,4 Students rated academics 3.3 stars. 50 % gave the school a 5.0.,Bryant & Stratton College-Milwaukee,,,,
100%,None,0,None,None,,,,,,,,,Bryant & Stratton College-Wauwatosa,None,,,
0%,None,0,None,22-26,,,,,,,,,Cairn University-Wisconsin Wilderness,None,,,
81%,None,0,930-1083,18-22,13 Students rated on-campus housing 3.8 stars. 15 % gave the school a 5.0.,12 Students rated off-campus housing 3.2 stars. 0 % gave the school a 5.0.,16 Students rated campus food 2.8 stars. 6 % gave the school a 5.0.,18 Students rated campus facilities 4.1 stars. 44 % gave the school a 5.0.,18 Students rated class size 4.6 stars. 72 % gave the school a 5.0.,18 Students rated school activities 3.8 stars. 28 % gave the school a 5.0.,18 Students rated local services 4.2 stars. 56 % gave the school a 5.0.,18 Students rated academics 3.9 stars. 56 % gave the school a 5.0.,Cardinal Stritch University,,,,
71%,None,0,940-1158,21-26,126 Students rated on-campus housing 3.5 stars. 13 % gave the school a 5.0.,96 Students rated off-campus housing 3.1 stars. 0 % gave the school a 5.0.,132 Students rated campus food 3.4 stars. 16 % gave the school a 5.0.,136 Students rated campus facilities 3.8 stars. 24 % gave the school a 5.0.,136 Students rated class size 4.5 stars. 64 % gave the school a 5.0.,136 Students rated school activities 3.9 stars. 35 % gave the school a 5.0.,136 Students rated local services 3.9 stars. 31 % gave the school a 5.0.,136 Students rated academics 3.8 stars. 32 % gave the school a 5.0.,Carroll University,,,,
69%,None,35,920-1140,21-27,193 Students rated on-campus housing 3.6 stars. 11 % gave the school a 5.0.,137 Students rated off-campus housing 3.3 stars. 0 % gave the school a 5.0.,203 Students rated campus food 3 stars. 8 % gave the school a 5.0.,210 Students rated campus facilities 4.2 stars. 40 % gave the school a 5.0.,210 Students rated class size 4.7 stars. 75 % gave the school a 5.0.,210 Students rated school activities 4.2 stars. 47 % gave the school a 5.0.,210 Students rated local services 3.5 stars. 22 % gave the school a 5.0.,210 Students rated academics 3.8 stars. 30 % gave the school a 5.0.,Carthage College,,,,
100%,None,30,None,None,8 Students rated on-campus housing 2.4 stars. 25 % gave the school a 5.0.,4 Students rated off-campus housing 4.1 stars. 0 % gave the school a 5.0.,10 Students rated campus food 3.5 stars. 20 % gave the school a 5.0.,11 Students rated campus facilities 4.4 stars. 55 % gave the school a 5.0.,11 Students rated class size 4.4 stars. 55 % gave the school a 5.0.,10 Students rated school activities 3.5 stars. 20 % gave the school a 5.0.,11 Students rated local services 4.5 stars. 64 % gave the school a 5.0.,11 Students rated academics 4.1 stars. 55 % gave the school a 5.0.,Chippewa Valley Technical College,,,,
100%,None,0,None,None,,,,,,,,,College of Menominee Nation,None,,,
%,None,50,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Columbia College of Nursing,,,,
63%,None,0,None,21-27,82 Students rated on-campus housing 4.1 stars. 37 % gave the school a 5.0.,61 Students rated off-campus housing 3.2 stars. 0 % gave the school a 5.0.,84 Students rated campus food 3.1 stars. 14 % gave the school a 5.0.,88 Students rated campus facilities 4.1 stars. 32 % gave the school a 5.0.,88 Students rated class size 4.6 stars. 67 % gave the school a 5.0.,88 Students rated school activities 3.7 stars. 28 % gave the school a 5.0.,87 Students rated local services 3.8 stars. 32 % gave the school a 5.0.,87 Students rated academics 3.7 stars. 26 % gave the school a 5.0.,Concordia University-Wisconsin,,,,
100%,None,100,None,None,,,,,,,,,East-West Healing Arts Institute,None,,,
75%,None,30,955-1078,21-25,41 Students rated on-campus housing 3.8 stars. 32 % gave the school a 5.0.,34 Students rated off-campus housing 3.2 stars. 0 % gave the school a 5.0.,49 Students rated campus food 3.4 stars. 24 % gave the school a 5.0.,51 Students rated campus facilities 4.2 stars. 43 % gave the school a 5.0.,51 Students rated class size 4.5 stars. 69 % gave the school a 5.0.,51 Students rated school activities 3.3 stars. 12 % gave the school a 5.0.,51 Students rated local services 4 stars. 43 % gave the school a 5.0.,51 Students rated academics 3.5 stars. 24 % gave the school a 5.0.,Edgewood College,,,,
100%,None,100,None,None,,,,,,,,,Empire Beauty School-Appleton,None,,,
100%,None,110,None,None,,,,,,,,,Empire Beauty School-Green Bay,None,,,
100%,None,100,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Empire Beauty School-Madison,,,,
%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Empire Beauty School-Manitowoc,,,,
100%,None,110,None,None,,,,,,,,,Empire Beauty School-Milwaukee,None,,,
%,None,0,None,None,,,,,,,,,Everest College-Milwaukee,None,,,
100%,None,10,None,None,,,,,,,,,First Class Cosmetology School,None,,,
100%,None,30,None,None,9 Students rated on-campus housing 3.6 stars. 22 % gave the school a 5.0.,4 Students rated off-campus housing 4.4 stars. 0 % gave the school a 5.0.,8 Students rated campus food 4 stars. 25 % gave the school a 5.0.,9 Students rated campus facilities 4.3 stars. 56 % gave the school a 5.0.,9 Students rated class size 4.9 stars. 89 % gave the school a 5.0.,9 Students rated school activities 4.2 stars. 56 % gave the school a 5.0.,9 Students rated local services 4.6 stars. 67 % gave the school a 5.0.,9 Students rated academics 4.8 stars. 78 % gave the school a 5.0.,Fox Valley Technical College,,,,
100%,None,30,None,None,9 Students rated on-campus housing 1 stars. 0 % gave the school a 5.0.,7 Students rated off-campus housing 3.6 stars. 0 % gave the school a 5.0.,11 Students rated campus food 4 stars. 27 % gave the school a 5.0.,12 Students rated campus facilities 4.5 stars. 50 % gave the school a 5.0.,12 Students rated class size 4.3 stars. 50 % gave the school a 5.0.,12 Students rated school activities 3.7 stars. 42 % gave the school a 5.0.,12 Students rated local services 4.3 stars. 58 % gave the school a 5.0.,12 Students rated academics 4.5 stars. 50 % gave the school a 5.0.,Gateway Technical College,,,,
100%,None,100,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Gill-Tech Academy of Hair Design,,,,
100%,None,0,None,None,,,,,,,,,Globe University-Appleton,None,,,
100%,None,0,None,None,,,,,,,,,Globe University-Eau Claire,None,,,
100%,None,0,None,None,,,,,,,,,Globe University-La Crosse,None,,,
100%,None,0,None,None,,,,,,,,,Globe University-Madison East,None,,,
%,None,0,None,None,,,,,,,,,Globe University–Green Bay,None,,,
%,None,0,None,None,,,,,,,,,Globe University–Madison West,None,,,
100%,None,0,None,None,,,,,,,,,Globe University–Wausau,None,,,
100%,None,0,None,None,,,,,,,,,Herzing University-Brookfield,None,,,
100%,None,0,None,None,,,,,,,,,Herzing University-Kenosha,None,,,
83%,None,0,None,None,3 Students rated on-campus housing 3 stars. 33 % gave the school a 5.0.,7 Students rated off-campus housing 3.6 stars. 0 % gave the school a 5.0.,6 Students rated campus food 2.4 stars. 17 % gave the school a 5.0.,24 Students rated campus facilities 4.6 stars. 63 % gave the school a 5.0.,24 Students rated class size 4.5 stars. 63 % gave the school a 5.0.,23 Students rated school activities 3.1 stars. 17 % gave the school a 5.0.,23 Students rated local services 4.6 stars. 74 % gave the school a 5.0.,24 Students rated academics 4.1 stars. 50 % gave the school a 5.0.,Herzing University-Madison,,,,
